Model	Date	Time	WxFile	Long	Lat	JdStart	JdEnd	Month	Day	Year	dd	bales	TempIncr	PbwEggt	PbwLrDys	PbwAdDys	PbwL/Bol	FromDiap	ToDiap	PbwCldLx	Tddb10
CotsimGIS	26Jul13	6:38:51-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0048.txt	76.8750	33.8750	0	310	11	6	Avg	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5688.7333	
CotsimGIS	26Jul13	6:38:53-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0049.txt	77.1870	33.8750	0	310	11	6	Avg	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5449.6545	
CotsimGIS	26Jul13	6:38:54-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0050.txt	77.5000	33.8750	0	310	11	6	Avg	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5505.3622	
CotsimGIS	26Jul13	6:38:55-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0051.txt	77.8120	33.8750	0	310	11	6	Avg	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6081.8710	
CotsimGIS	26Jul13	6:38:55-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0052.txt	78.1250	33.8750	0	310	11	6	Avg	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6827.2244	
CotsimGIS	26Jul13	6:38:56-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0053.txt	78.4370	33.8750	0	310	11	6	Avg	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	7140.2805	
CotsimGIS	26Jul13	6:38:57-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0054.txt	78.7500	33.8750	0	310	11	6	Avg	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	7142.8141	
CotsimGIS	26Jul13	6:38:58-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0055.txt	74.3750	33.5630	292	365	12	31	Avg	1013.7869	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	888.4003	
CotsimGIS	26Jul13	6:39:01-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0056.txt	74.6870	33.5630	288	365	12	31	Avg	871.5738	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1151.2060	
CotsimGIS	26Jul13	6:39:03-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0057.txt	75.0000	33.5630	279	365	12	31	Avg	896.4828	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1213.1414	
CotsimGIS	26Jul13	6:39:04-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0058.txt	75.3120	33.5630	230	310	11	6	Avg	419.6522	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1659.8019	
CotsimGIS	26Jul13	6:39:05-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0059.txt	75.6250	33.5630	204	310	11	6	Avg	96.6230	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2674.4237	
